TipoMov 	Angles[0] 	Angles[1] 	Angles[2] 	Angles[3] 	Angles[4] 	gEUD[0] 	gEUD[1] 	gEUD[2] 	gEUD[3] 	globalScore 	weights[0] 	weights[1] 	weights[2] 	
14 Seconds 	DDMs loading begins
0	125	150	230	250	275	76.0	56.821	41.0146	85.0	0.5942527622137166	0.0	0.0	0.0	x125:	30.0	30.0	6.88633	20.8313	10.8652	1.52082E-8	30.0	23.5364	14.3792	7.8389E-7	21.7574	29.134	30.0	1.02409	5.85163	23.8286	19.7193	7.89908	28.7197	24.3276	27.5144	16.3099	18.6911	25.0309	15.9521	8.0777	30.0	30.0	30.0	18.3306	3.9517E-8	6.85121	2.67096	14.5034	1.95941E-7	20.1962	10.3994	6.51705	30.0	6.92943E-8	2.28399E-6	9.95105E-7	8.59499	3.91012	19.6444	9.66318	4.16116E-8	5.83366E-8	1.70854E-6	1.43568E-7	2.70348E-6	6.88779	18.5429	13.3788	5.49323	2.21483E-7	16.3692	0.00656225	8.83736	10.4637	14.9841	21.6126	4.9882	3.48301	x150:	7.08456	29.0098	22.2185	5.5154E-7	1.51131E-8	30.0	1.16885	19.5132	30.0	18.6088	7.88196	25.5353	0.625537	5.7236E-8	30.0	8.87483	15.7928	22.8676	11.9922	2.32564	23.7148	11.5256	3.90959E-8	26.8484	1.20972E-7	2.14365E-7	13.11	5.40528	9.83699E-8	15.6737	9.4641	5.17472E-8	20.1224	4.82828	2.27233	13.2398	7.37564	2.84394	15.1511	1.47527E-7	6.14622E-8	18.652	5.50236	0.328423	10.4094	6.10752	1.1641	13.4951	1.20262E-7	6.98823E-8	15.6481	4.34588	6.23162	12.0435	6.00817	6.22822E-7	5.29545	2.93351E-8	4.27283E-7	8.81803	6.43759E-8	4.35362E-8	2.42146E-7	10.9233	13.6911	1.24152	12.4488	11.9464	x230:	2.21785E-6	7.83171	7.22017	8.69692E-7	13.958	4.85796	4.95418	1.14754E-7	9.95314E-8	1.9165E-6	11.8343	20.4857	15.143	15.2145	1.74701	7.86851	2.07697E-8	5.34809E-8	1.06051	6.78212	17.336	0.420679	12.4046	5.50155	6.68171	8.13913	1.97766E-7	1.20543E-7	11.9112	12.5377	0.86513	9.28049	6.48121	7.08964	10.9692	1.33885	7.12184E-8	21.8011	7.81609	1.26297E-7	3.69406E-7	7.31957E-7	0.216387	10.3047	11.5714	4.42235E-8	30.0	28.3358	16.9724	11.3826	6.19741	1.26718E-7	17.5262	17.922	4.34471E-8	30.0	25.1791	16.5057	7.2637	2.76631	6.67767	30.0	14.2073	30.0	9.45206E-7	7.50285E-7	2.8886	1.10882	6.94895E-8	x250:	14.7353	1.61425	6.19477	1.33336E-6	3.76303E-7	4.16864	13.0388	5.00639	2.11135E-7	5.32549	1.32156	17.5803	12.5512	2.1605E-8	9.22238E-7	10.1676	2.58738E-7	17.5119	25.0526	6.74948	10.7448	11.5257	0.973085	6.34665E-8	5.50488E-7	14.4342	15.5863	21.6803	10.0251	12.0947	11.7633	4.71274	27.0308	5.04521E-8	30.0	30.0	22.7227	27.9862	26.9278	29.5679	30.0	14.8328	3.86065E-8	22.0921	11.4034	20.4271	21.8973	23.0571	30.0	20.3915	9.72298	26.3909	1.44096	13.8657	22.2256	23.5824	23.9138	18.1151	0.271004	29.9955	30.0	29.1386	21.8071	7.24707	6.39157	x275:	4.32549E-6	13.6738	2.20787E-6	1.21927E-7	2.97162E-7	7.24116	4.83242E-8	5.28234	30.0	6.57057	30.0	29.2556	30.0	17.5373	30.0	30.0	8.52346E-8	30.0	4.14003	20.771	20.7155	20.9724	12.8963	24.2376	17.6232	1.95227	3.75246E-8	3.82931E-6	25.7439	27.7575	29.6794	29.8643	30.0	11.2189	0.781913	3.05958E-8	6.37587E-7	26.2517	30.0	26.7745	22.0749	18.3039	3.4325	10.3075	1.52554E-6	30.0	30.0	30.0	27.0766	29.6134	21.0042	0.451283	30.0	20.466	30.0	30.0	23.3973	6.84319E-8	
0 Seconds 	rMIP ended with better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
236 Seconds 	prepareampl: rMIP fixed solved
236 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
236 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
28 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
265 Seconds 	rMIP for beam angle 1 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	rMIP for beam angle 2 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
237 Seconds 	prepareampl: rMIP fixed solved
237 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
237 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
237 Seconds 	rMIP for beam angle 3 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
231 Seconds 	prepareampl: rMIP fixed solved
231 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
231 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
231 Seconds 	rMIP for beam angle 4 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
228 Seconds 	prepareampl: rMIP fixed solved
228 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
228 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
228 Seconds 	rMIP for beam angle 5 ended, worst solution 
0	125	150	230	250	275	76.0	56.821	41.0146	85.0	0.5942527622137166	0.0	0.0	0.0	x125:	30.0	30.0	6.88633	20.8313	10.8652	1.52082E-8	30.0	23.5364	14.3792	7.8389E-7	21.7574	29.134	30.0	1.02409	5.85163	23.8286	19.7193	7.89908	28.7197	24.3276	27.5144	16.3099	18.6911	25.0309	15.9521	8.0777	30.0	30.0	30.0	18.3306	3.9517E-8	6.85121	2.67096	14.5034	1.95941E-7	20.1962	10.3994	6.51705	30.0	6.92943E-8	2.28399E-6	9.95105E-7	8.59499	3.91012	19.6444	9.66318	4.16116E-8	5.83366E-8	1.70854E-6	1.43568E-7	2.70348E-6	6.88779	18.5429	13.3788	5.49323	2.21483E-7	16.3692	0.00656225	8.83736	10.4637	14.9841	21.6126	4.9882	3.48301	x150:	7.08456	29.0098	22.2185	5.5154E-7	1.51131E-8	30.0	1.16885	19.5132	30.0	18.6088	7.88196	25.5353	0.625537	5.7236E-8	30.0	8.87483	15.7928	22.8676	11.9922	2.32564	23.7148	11.5256	3.90959E-8	26.8484	1.20972E-7	2.14365E-7	13.11	5.40528	9.83699E-8	15.6737	9.4641	5.17472E-8	20.1224	4.82828	2.27233	13.2398	7.37564	2.84394	15.1511	1.47527E-7	6.14622E-8	18.652	5.50236	0.328423	10.4094	6.10752	1.1641	13.4951	1.20262E-7	6.98823E-8	15.6481	4.34588	6.23162	12.0435	6.00817	6.22822E-7	5.29545	2.93351E-8	4.27283E-7	8.81803	6.43759E-8	4.35362E-8	2.42146E-7	10.9233	13.6911	1.24152	12.4488	11.9464	x230:	2.21785E-6	7.83171	7.22017	8.69692E-7	13.958	4.85796	4.95418	1.14754E-7	9.95314E-8	1.9165E-6	11.8343	20.4857	15.143	15.2145	1.74701	7.86851	2.07697E-8	5.34809E-8	1.06051	6.78212	17.336	0.420679	12.4046	5.50155	6.68171	8.13913	1.97766E-7	1.20543E-7	11.9112	12.5377	0.86513	9.28049	6.48121	7.08964	10.9692	1.33885	7.12184E-8	21.8011	7.81609	1.26297E-7	3.69406E-7	7.31957E-7	0.216387	10.3047	11.5714	4.42235E-8	30.0	28.3358	16.9724	11.3826	6.19741	1.26718E-7	17.5262	17.922	4.34471E-8	30.0	25.1791	16.5057	7.2637	2.76631	6.67767	30.0	14.2073	30.0	9.45206E-7	7.50285E-7	2.8886	1.10882	6.94895E-8	x250:	14.7353	1.61425	6.19477	1.33336E-6	3.76303E-7	4.16864	13.0388	5.00639	2.11135E-7	5.32549	1.32156	17.5803	12.5512	2.1605E-8	9.22238E-7	10.1676	2.58738E-7	17.5119	25.0526	6.74948	10.7448	11.5257	0.973085	6.34665E-8	5.50488E-7	14.4342	15.5863	21.6803	10.0251	12.0947	11.7633	4.71274	27.0308	5.04521E-8	30.0	30.0	22.7227	27.9862	26.9278	29.5679	30.0	14.8328	3.86065E-8	22.0921	11.4034	20.4271	21.8973	23.0571	30.0	20.3915	9.72298	26.3909	1.44096	13.8657	22.2256	23.5824	23.9138	18.1151	0.271004	29.9955	30.0	29.1386	21.8071	7.24707	6.39157	x275:	4.32549E-6	13.6738	2.20787E-6	1.21927E-7	2.97162E-7	7.24116	4.83242E-8	5.28234	30.0	6.57057	30.0	29.2556	30.0	17.5373	30.0	30.0	8.52346E-8	30.0	4.14003	20.771	20.7155	20.9724	12.8963	24.2376	17.6232	1.95227	3.75246E-8	3.82931E-6	25.7439	27.7575	29.6794	29.8643	30.0	11.2189	0.781913	3.05958E-8	6.37587E-7	26.2517	30.0	26.7745	22.0749	18.3039	3.4325	10.3075	1.52554E-6	30.0	30.0	30.0	27.0766	29.6134	21.0042	0.451283	30.0	20.466	30.0	30.0	23.3973	6.84319E-8	
2329 Seconds 	rMIP ended, algorithm ended
